"","Player","Pos","Age","Tm","G","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","Yr","PER","TS.","X3PAr","FTr","ORB.","DRB.","TRB.","AST.","STL.","BLK.","TOV.","USG.","OWS","DWS","WS","WS.48","OBPM","DBPM","BPM","VORP"
"1","Zaid Abdul-Aziz","C",27,"HOU",79,0,2459,336,732,0.459,0,0,0,336,732,0.459,0.459,193,240,0.804,259,664,923,166,80,104,136,227,865,1974,15.9,0.516,0,0.328,11.4,28.6,20.1,8.9,1.5,2.3,14.0002664696714,15.2185629651695,3.3,3.2,6.5,0.126,0.9,0.1,1,1.8
"2","Kareem Abdul-Jabbar*","C",26,"MIL",81,0,3548,948,1759,0.539,0,0,0,948,1759,0.539,0.539,295,420,0.702,287,891,1178,386,112,283,252,238,2191,1974,24.4,0.564,0,0.239,8.8,23.9,16.9,16.1,1.4,4,11.867840453802,23.7913571468952,10.6,7.9,18.4,0.25,5,2.5,7.5,8.6
"3","Don Adams","SF",26,"DET",74,0,2298,303,742,0.408,0,0,0,303,742,0.408,0.408,153,201,0.761,133,315,448,141,110,12,136,242,759,1974,10.9,0.457,0,0.271,6,14.1,10,8.3,2.2,0.3,13.4620066122688,17.0134564781484,0.1,3.5,3.6,0.076,-2.2,0.7,-1.4,0.3
"4","Rick Adelman","PG",27,"CHI",55,0,618,64,170,0.376,0,0,0,64,170,0.376,0.376,54,76,0.711,16,53,69,56,36,1,40,63,182,1974,10,0.447,0,0.447,2.6,9,5.8,12.4,2.7,0.1,16.4404316984195,17.1980554009432,-0.3,0.9,0.7,0.053,-3.5,1.8,-1.6,0.1
"5","Lucius Allen","PG",26,"MIL",72,0,2388,526,1062,0.495,0,0,0,526,1062,0.495,0.495,216,274,0.788,89,202,291,374,137,22,183,215,1268,1974,18.8,0.536,0,0.258,4.1,8.1,6.2,21.7,2.6,0.5,13.3264511940886,22.4990614874426,4.7,3.4,8.2,0.164,1.6,1,2.5,2.7
"6","Tiny Archibald*","PG",25,"KCO",35,0,1272,222,492,0.451,0,0,0,222,492,0.451,0.451,173,211,0.82,21,64,85,266,56,7,117,76,617,1974,18.3,0.527,0,0.429,1.7,5.3,3.5,30.7,2,0.3,16.1174728160446,23.6971977525286,1.8,0.5,2.3,0.088,1.8,-1.4,0.3,0.8
"7","Dennis Awtrey","C",25,"CHI",68,0,756,65,123,0.528,0,0,0,65,123,0.528,0.528,54,94,0.574,49,125,174,86,22,14,66,128,184,1974,11.4,0.56,0,0.764,6.6,17.4,11.9,15.2,1.3,1,29.7882494678077,13.3078108994814,0.2,1.2,1.4,0.091,-2.4,2.1,-0.3,0.3
"8","Mike Bantom","PF",22,"PHO",76,0,1982,314,787,0.399,0,0,0,314,787,0.399,0.399,141,213,0.662,172,347,519,163,50,47,169,289,769,1974,11.7,0.437,0,0.271,8.9,17.5,13.3,11.1,1.1,1.2,15.9892274221003,21.5196657653797,-0.8,1.3,0.5,0.012,-2.5,-1.1,-3.7,-0.8
"9","Dick Barnett","SG",37,"NYK",5,0,58,10,26,0.385,0,0,0,10,26,0.385,0.385,2,3,0.667,1,3,4,6,1,0,0,2,22,1974,9.4,0.403,0,0.115,1.8,5.4,3.6,14.6,0.8,0,0,20.1143467093403,0,0,0,0.005,-3.2,-0.4,-3.6,0
"10","Jim Barnett","SG",29,"GSW",77,0,1689,350,755,0.464,0,0,0,350,755,0.464,0.464,184,226,0.814,76,146,222,209,56,11,109,146,884,1974,16.4,0.517,0,0.299,4.3,8,6.2,16.8,1.5,0.3,11.3345447149427,21.8792357707218,3.2,1,4.1,0.118,0.9,-0.9,0.1,0.9
"11","Rick Barry*","SF",29,"GSW",80,0,2918,796,1746,0.456,0,0,0,796,1746,0.456,0.456,417,464,0.899,103,437,540,484,169,40,273,265,2009,1974,22.4,0.515,0,0.266,3.4,13.8,8.7,24.7,2.6,0.7,12.3503528247217,28.7654509884424,7.1,3.4,10.4,0.172,3.3,0.7,3.9,4.4
"12","Butch Beard","PG",26,"GSW",79,0,2134,316,617,0.512,0,0,0,316,617,0.512,0.512,173,234,0.739,136,253,389,300,105,9,148,241,805,1974,15.5,0.559,0,0.379,6.2,11,8.6,17.7,2.2,0.2,16.6361864182357,15.686679999628,3.7,1.9,5.6,0.126,0.2,0.7,0.9,1.6
"13","Ron Behagen","PF",23,"KCO",80,0,2059,357,827,0.432,0,0,0,357,827,0.432,0.432,162,212,0.764,188,379,567,134,56,37,172,291,876,1974,13.9,0.476,0,0.256,9.6,19.3,14.4,9.5,1.2,0.9,15.3289037016119,22.0475878445881,0.2,1.8,2,0.046,-1.8,-1.1,-2.8,-0.4
"14","Dennis Bell","SF",22,"NYK",1,0,4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1974,-6.8,0,0,0,0,0,0,0,0,0,102.295060576308,4.86342374182431,0,0,0,-0.222,-4.7,-0.1,-4.8,0
"15","Walt Bellamy*","C",34,"ATL",77,0,2440,389,801,0.486,0,0,0,389,801,0.486,0.486,233,383,0.608,264,476,740,189,52,48,181,232,1011,1974,15.2,0.521,0,0.478,10.7,20,15.3,10.3,0.9,1,15.5983849187566,17.808724708749,3.2,2.2,5.4,0.107,0.7,-0.9,-0.2,1.1
"16","Henry Bibby","PG",24,"NYK",66,0,986,210,465,0.452,0,0,0,210,465,0.452,0.452,73,88,0.83,48,85,133,91,65,2,68,123,493,1974,15.7,0.489,0,0.189,5.1,9.1,7.1,13.9,3.1,0.1,11.5322277071539,24.1119913638216,0.7,1.6,2.3,0.11,-1,1.6,0.6,0.6
"17","Dave Bing*","PG",30,"DET",81,0,3124,582,1336,0.436,0,0,0,582,1336,0.436,0.436,356,438,0.813,108,173,281,555,109,17,258,216,1520,1974,16.4,0.497,0,0.328,3.6,5.7,4.6,25.8,1.6,0.3,14.5947605018851,23.9902349785334,4.1,3.2,7.3,0.113,1,-0.7,0.3,1.8
